http://www.wikidata.org/entity/Q30360992,Fluid management with a simplified conservative protocol for the acute respiratory distress syndrome*.
http://www.wikidata.org/entity/Q30365444,Chinese medicine: a cognitive and epistemological review*.
http://www.wikidata.org/entity/Q30418456,The impact of early monitored management on survival in hospitalized adult Ugandan patients with severe sepsis: a prospective intervention study*.
http://www.wikidata.org/entity/Q30697388,Using electronic health record data to develop and validate a prediction model for adverse outcomes in the wards*.
http://www.wikidata.org/entity/Q31051711,Mining microarray data at NCBI's Gene Expression Omnibus (GEO)*.
http://www.wikidata.org/entity/Q33267596,Exclusion of glucosyl-hydroxymethylcytosine DNA containing bacteriophages is overcome by the injected protein inhibitor IPI*.
http://www.wikidata.org/entity/Q33397860,Analysis of risk factors for adverse drug events in critically ill patients*.
http://www.wikidata.org/entity/Q33555553,"In gender-based outcomes, sex hormones may be important but it is in the genes*."
http://www.wikidata.org/entity/Q33643714,Support groups for dementia caregivers--predictors for utilisation and expected quality from a family caregiver's point of view: a questionnaire survey part I*.
http://www.wikidata.org/entity/Q33683294,The Task before Psychiatry Today Redux: STSPIR*.
http://www.wikidata.org/entity/Q33767344,Exploring the boundaries of systemic inflammation*.
http://www.wikidata.org/entity/Q33769396,Long-term survival in patients with severe acute respiratory distress syndrome and rescue therapies for refractory hypoxemia*.
http://www.wikidata.org/entity/Q33769412,"Sedation, sleep promotion, and delirium screening practices in the care of mechanically ventilated children: a wake-up call for the pediatric critical care community*."
http://www.wikidata.org/entity/Q33830365,Age-specific cerebral perfusion pressure thresholds and survival in children and adolescents with severe traumatic brain injury*.
http://www.wikidata.org/entity/Q33847417,Nonconvulsive electrographic seizures are common in children with abusive head trauma*.
http://www.wikidata.org/entity/Q33882704,Early lactate elevations following resuscitation from pediatric cardiac arrest are associated with increased mortality*.
http://www.wikidata.org/entity/Q33882734,Interdisciplinary ICU cardiac arrest debriefing improves survival outcomes*.
http://www.wikidata.org/entity/Q33917877,Daily goals: not just another piece of paper*.
http://www.wikidata.org/entity/Q33917882,Comorbidity or covert advantage? The obesity conundrum*.
http://www.wikidata.org/entity/Q33944927,Effects of fibrinogen concentrate after shock/resuscitation: a comparison between in vivo microvascular clot formation and thromboelastometry*.
http://www.wikidata.org/entity/Q33966013,Improved oxygenation 24 hours after transition to airway pressure release ventilation or high-frequency oscillatory ventilation accurately discriminates survival in immunocompromised pediatric patients with acute respiratory distress syndrome*.
http://www.wikidata.org/entity/Q34009929,Effect of local tidal lung strain on inflammation in normal and lipopolysaccharide-exposed sheep*.
http://www.wikidata.org/entity/Q34052600,The opportunity cost of futile treatment in the ICU*.
http://www.wikidata.org/entity/Q34052791,Epidemiology of death in the PICU at five U.S. teaching hospitals*.
http://www.wikidata.org/entity/Q34052843,The association of spiritual care providers' activities with family members' satisfaction with care after a death in the ICU*.
http://www.wikidata.org/entity/Q34057044,The next generation of sepsis clinical trial designs: what is next after the demise of recombinant human activated protein C?*.
http://www.wikidata.org/entity/Q34059664,The syllabic bridge: the first step in learning spelling-to-sound correspondences*.
http://www.wikidata.org/entity/Q34083272,Effects of fluid resuscitation with 0.9% saline versus a balanced electrolyte solution on acute kidney injury in a rat model of sepsis*.
http://www.wikidata.org/entity/Q34141278,Serum biomarkers of brain injury: a call for collaboration*.
http://www.wikidata.org/entity/Q34143348,A stepwise enteral nutrition algorithm for critically ill children helps achieve nutrient delivery goals*.
http://www.wikidata.org/entity/Q34274848,"The relationship between delirium duration, white matter integrity, and cognitive impairment in intensive care unit survivors as determined by diffusion tensor imaging: the VISIONS prospective cohort magnetic resonance imaging study*."
http://www.wikidata.org/entity/Q34282529,"The association between brain volumes, delirium duration, and cognitive outcomes in intensive care unit survivors: the VISIONS cohort magnetic resonance imaging study*."
http://www.wikidata.org/entity/Q34333962,"Prevalence, serologic and genetic studies of high expressers of the blood group A antigen on platelets*."
http://www.wikidata.org/entity/Q34412062,Competitive abilities in experimental microcosms are accurately predicted by a demographic index for R*.
http://www.wikidata.org/entity/Q34436114,"Seat belt syndrome, a new pattern of injury in developing countries. Case report and review of literature*."
http://www.wikidata.org/entity/Q34501385,Computed tomography-defined abdominal adiposity is associated with acute kidney injury in critically ill trauma patients*.
http://www.wikidata.org/entity/Q34536357,Cerebral performance category at hospital discharge predicts long-term survival of cardiac arrest survivors receiving targeted temperature management*.
http://www.wikidata.org/entity/Q34536454,Psychiatric symptoms and acute care service utilization over the course of the year following medical-surgical ICU admission: a longitudinal investigation*.
http://www.wikidata.org/entity/Q34616477,The AIMAR recommendations for early diagnosis of chronic obstructive respiratory disease based on the WHO/GARD model*.
http://www.wikidata.org/entity/Q34658548,Rai14 (retinoic acid induced protein 14) is involved in regulating f-actin dynamics at the ectoplasmic specialization in the rat testis*.
http://www.wikidata.org/entity/Q34679472,Mapping of a protein-RNA kissing hairpin interface: Rom and Tar-Tar*.
http://www.wikidata.org/entity/Q34703201,Do-not-resuscitate status and observational comparative effectiveness research in patients with septic shock*.
http://www.wikidata.org/entity/Q34755868,Association of cystic fibrosis transmembrane conductance regulator gene variants with acute lung injury in African American children with pneumonia*.
http://www.wikidata.org/entity/Q34823967,Prospective study on the clinical course and outcomes in transfusion-related acute lung injury*.
http://www.wikidata.org/entity/Q34931902,Location of the retinal chromophore in the activated state of rhodopsin*.
http://www.wikidata.org/entity/Q34988241,Choosing between methods to prevent methicillin-resistant Staphylococcus aureus in ICUs*.
http://www.wikidata.org/entity/Q34988288,Chronic critical illness: a growing legacy of successful advances in critical care*.
http://www.wikidata.org/entity/Q34988310,"Critically ill patients with H7N9: new virus, old challenges*."
http://www.wikidata.org/entity/Q35022688,Role of pharmacovigilance on vaccines control*.
http://www.wikidata.org/entity/Q35038284,Two decades of mortality trends among patients with severe sepsis: a comparative meta-analysis*.
http://www.wikidata.org/entity/Q35039182,Eupha strategy 2014-2020*.
http://www.wikidata.org/entity/Q35045934,Freudian theory and consciousness: a conceptual analysis**.
http://www.wikidata.org/entity/Q35048381,Familial hypertrophic cardiomyopathy related cardiac troponin C L29Q mutation alters length-dependent activation and functional effects of phosphomimetic troponin I*.
http://www.wikidata.org/entity/Q35063323,Comparison of two surgical approaches for the treatment of primary spontaneous pneumothorax*.
http://www.wikidata.org/entity/Q35063342,Compared to coverage by STSG grafts only reconstruction by the dermal substitute IntegraÂ® plus STSG increases TcPO2 values in diabetic feet at 3 and 6 months after reconstruction*.
http://www.wikidata.org/entity/Q35063345,VATS: first step in the parapneumonic empyema*.
